Artist 1,Artist 2,Cosine Similarity
Adrienne Young,Johnny Cash,0.49234643192609295
Adrienne Young,Jonathan Jackson (actor),0.4369319596718694
Adrienne Young,Judy Collins,0.5119674233260356
Adrienne Young,Juice Newton,0.4069114825443265
Adrienne Young,June Carter Cash,0.45900707692170506
Adrienne Young,Justin Timberlake,0.4336266298128772
Adrienne Young,K.d. lang,0.45915626610404764
Adrienne Young,Kane Brown,0.4346825291024942
Adrienne Young,Kasey Chambers,0.41471483279869026
Adrienne Young,Kathy Mattea,0.46689015321881794
Adrienne Young,Keith Urban,0.4801468733199837
Adrienne Young,Kelly Clarkson,0.44300125833663
Adrienne Young,Kenny Chesney,0.4767334988561637
Adrienne Young,Kenny Rogers,0.4776066093351619
Adrienne Young,Kim Carnes,0.4184544826171636
Adrienne Young,Kitty Wells,0.4054614445693221
Adrienne Young,Kris Kristofferson,0.42620361226793224
Adrienne Young,Kristian Bush,0.4879639641539873
Adrienne Young,Lady A,0.5750907429975513
Adrienne Young,Lari White,0.5691677567555208
Adrienne Young,LeAnn Rimes,0.44000869536876874
Adrienne Young,Lee Ann Womack,0.4776630291159759
Adrienne Young,Linda Ronstadt,0.5306147837590498
Adrienne Young,Lionel Richie,0.4308182416739353
Adrienne Young,Lisa Marie Presley,0.4541070179307665
Adrienne Young,Little Big Town,0.5372013447722844
Adrienne Young,Lonestar,0.5220531392020068
Adrienne Young,Loretta Lynn,0.49602943881268824
Adrienne Young,Lorrie Morgan,0.5502177339935863
Adrienne Young,Lucinda Williams,0.5481132494879686
Adrienne Young,Luke Bryan,0.41530119355688255
Adrienne Young,Lynn Anderson,0.5068133601895422
Adrienne Young,Lynyrd Skynyrd,0.432490152894451
Adrienne Young,Mac Davis,0.42783607103186205
Adrienne Young,Maren Morris,0.4581911605896189
Adrienne Young,Margo Smith,0.4952924589100246
Adrienne Young,Marie Osmond,0.41745303326832406
Adrienne Young,Mark Chesnutt,0.44928388023464355
Adrienne Young,Martina McBride,0.5000353079071052
Adrienne Young,Marty Stuart,0.4256752853907458
Adrienne Young,Mary Chapin Carpenter,0.5751510795690163
Adrienne Young,McBride & the Ride,0.4023064153694615
Adrienne Young,Megan and Liz,0.4070480413917061
Adrienne Young,Melba Montgomery,0.4608862058455674
Adrienne Young,Merle Haggard,0.4695644181831997
Adrienne Young,Merle Travis,0.4645171759165519
Adrienne Young,Michelle Branch,0.43604055645917295
Adrienne Young,Miley Cyrus,0.48612251285217006
Adrienne Young,Miranda Lambert,0.5177447470165645
Adrienne Young,Montgomery Gentry,0.44131494817369193
Adrienne Young,Nancy Sinatra,0.4037157201229939
Adrienne Young,Neal McCoy,0.41695831041814546
Adrienne Young,Neil Diamond,0.49850052142595463
Adrienne Young,Neko Case,0.4770889692719033
Adrienne Young,Nelly,0.4067097670711957
Adrienne Young,Nitty Gritty Dirt Band,0.5173101605155321
Adrienne Young,Norah Jones,0.53840325430358
Adrienne Young,Old Crow Medicine Show,0.5660544888781459
Adrienne Young,Olivia Newton-John,0.4710737133522308
Adrienne Young,Pink (singer),0.5351252197031766
Adrienne Young,Pam Tillis,0.515502119345303
Adrienne Young,Patsy Cline,0.44549070592564577
Adrienne Young,Patti Page,0.4528148038221593
Adrienne Young,Patty Griffin,0.49237092930587184
Adrienne Young,Patty Loveless,0.5271368974796676
Adrienne Young,Pirates of the Mississippi,0.488512500079681
Adrienne Young,Poco (band),0.4761651140762692
Adrienne Young,Point of Grace,0.5853381652318836
Adrienne Young,Popular music,0.5364397505321494
Adrienne Young,Ralph Stanley,0.44850883601214675
Adrienne Young,Randy Travis,0.5298489144556011
Adrienne Young,Rascal Flatts,0.4933138522524113
Adrienne Young,Ray Charles,0.5051180601710371
Adrienne Young,Reba McEntire,0.5019385667228575
Adrienne Young,Red Wanting Blue,0.4431344235853019
Adrienne Young,Restless Heart,0.529188050220547
Adrienne Young,Ricky Nelson,0.4599610644299635
Adrienne Young,Rita Wilson,0.4490867451014486
Adrienne Young,Robert Plant,0.41586212753803337
Adrienne Young,Rodney Atkins,0.42725185150596195
Adrienne Young,Roger Miller,0.4336309043018946
Adrienne Young,Ronnie Milsap,0.42034152960241467
Adrienne Young,Rosanne Cash,0.49664526149302707
Adrienne Young,Roy Clark,0.42797495438660504
Adrienne Young,Roy Orbison,0.4145786775301177
Adrienne Young,Roy Rogers,0.4432250104020478
Adrienne Young,Ryan Adams,0.4068092798043108
Adrienne Young,Sam Hunt,0.42330614649578
Adrienne Young,Sara Evans,0.4588325937743368
Adrienne Young,Sara Storer,0.41671989484676003
Adrienne Young,Shania Twain,0.5864453946525885
Adrienne Young,Sheena Easton,0.42139271134826845
Adrienne Young,Shenandoah (band),0.4829950949778529
Adrienne Young,Sheryl Crow,0.529045637202669
Adrienne Young,Shooter Jennings,0.41795099593414087
Adrienne Young,Skeeter Davis,0.49210899438393824
Adrienne Young,"O Brother, Where Art Thou?",0.5243697469325561
Adrienne Young,Sonny James,0.48796500505010826
Adrienne Young,Sons of the Pioneers,0.4316006279985823
Adrienne Young,Steve Grand,0.44464979938658866
Adrienne Young,Steve Martin,0.4941080811243695
Adrienne Young,Steve Wariner,0.440495506471009
Adrienne Young,Steven Tyler,0.459612182651291
Adrienne Young,Sturgill Simpson,0.4048696284922914
Adrienne Young,Sugarland,0.4781986798456038
Adrienne Young,Suzy Bogguss,0.4097447886742641
Adrienne Young,T Bone Burnett,0.47223120335308616
Adrienne Young,Tammy Wynette,0.4176514997761791
Adrienne Young,Tanya Tucker,0.47903074517046157
Adrienne Young,Taylor Swift,0.5162657551780195
Adrienne Young,Terri Clark,0.4555261141588827
Adrienne Young,The Band,0.5426285845450692
Adrienne Young,The Bellamy Brothers,0.5122577921454426
Adrienne Young,The Big Bopper,0.4001873034894445
Adrienne Young,The Chicks,0.5168651156083222
Adrienne Young,The Civil Wars,0.4627599014853712
Adrienne Young,The Everly Brothers,0.4900846589532034
Adrienne Young,The Forester Sisters,0.5406628428033231
Adrienne Young,The Hackensaw Boys,0.4171654555893257
Adrienne Young,The Judds,0.4292226557977485
Adrienne Young,The Kentucky Headhunters,0.540207628887407
Adrienne Young,The Marshall Tucker Band,0.4367898954084911
Adrienne Young,The Mavericks,0.5281333616147987
Adrienne Young,The Oak Ridge Boys,0.47654125555300647
Adrienne Young,The Osmonds,0.4458375214840157
Adrienne Young,The String Cheese Incident,0.46632592962080915
Adrienne Young,Tim McGraw,0.46813372114881446
Adrienne Young,Tina Turner,0.44463820993100056
Adrienne Young,Toby Keith,0.4901407855622683
Adrienne Young,Tom Jones (singer),0.4896082369605493
Adrienne Young,Tommy Emmanuel,0.40638381289653797
Adrienne Young,Tracy Lawrence,0.5007793749077125
Adrienne Young,Travis Tritt,0.4548420768731323
Adrienne Young,Trisha Yearwood,0.4910699470915847
Adrienne Young,Uncle Tupelo,0.41435312461145385
Adrienne Young,Van Morrison,0.443937813460918
Adrienne Young,Vince Gill,0.5000060794343757
Adrienne Young,Wanda Jackson,0.531890893846088
Adrienne Young,Waylon Jennings,0.40390079164330717
Adrienne Young,Wilco,0.4421803993313275
Adrienne Young,Willie Nelson,0.5189759102445123
Adrienne Young,Wynonna Judd,0.46323424283684306
Adrienne Young,Zac Brown Band,0.46957029455551585
Al Caiola,Al Caiola,1.0000000000000007
Al Caiola,Alan Jackson,0.4008645658893727
Al Caiola,Brenda Lee,0.40976140572052583
Al Caiola,Country music,0.43918028778387136
Al Caiola,Elvis Presley,0.40813244603511367
Al Caiola,Jack White,0.41666200177485413
Al Caiola,James Taylor,0.40002675563553836
Al Caiola,Lady A,0.40208329991051484
Al Hurricane,Al Hurricane,1.0000000000000009
Alabama (band),Adam Brand (musician),0.43595054212299855
Alabama (band),Adrienne Young,0.5522093822562912
Alabama (band),Alabama (band),1.0000000000000007
Alabama (band),Alan Jackson,0.6661133308850294
Alabama (band),Alison Krauss,0.5880297214727762
Alabama (band),The Allman Brothers Band,0.6378641049572393
Alabama (band),Amber Lawrence,0.5654448148651421
