Artist 1,Artist 2,Cosine Similarity
21 Savage,J-Hope,0.44391858089097147
21 Savage,J. Cole,0.5001254320269825
21 Savage,Jadakiss,0.4435810279866442
21 Savage,James Brown,0.45112098381614213
21 Savage,Jay-Z,0.5351404928448568
21 Savage,Jay Park,0.4501141111683244
21 Savage,Jay Sean,0.4865708914364708
21 Savage,Jay Z,0.5351404928448568
21 Savage,Jeezy,0.4329594102811472
21 Savage,Jermaine Dupri,0.40513830782390936
21 Savage,John Legend,0.47187271671582326
21 Savage,Juelz Santana,0.4402492842531409
21 Savage,Juvenile (rapper),0.41015664031177657
21 Savage,KRS-One,0.40368626755648107
21 Savage,Kano (British musician),0.4714061643835159
21 Savage,Kanye West,0.5042565927682845
21 Savage,Kardinal Offishall,0.4076721337507493
21 Savage,Katt Williams,0.4282493900502151
21 Savage,Kendrick Lamar,0.49399982890000943
21 Savage,Key (entertainer),0.42510194691613346
21 Savage,Keyshia Cole,0.4367284770731913
21 Savage,Khalid (singer),0.4445710860541532
21 Savage,Killer Mike,0.4589122668300711
21 Savage,King Von,0.4861899031439519
21 Savage,LL Cool J,0.49626551709535044
21 Savage,Lauryn Hill,0.440637572614573
21 Savage,Lil' Kim,0.46041963764775845
21 Savage,Lil Baby,0.5311537774520908
21 Savage,Lil Durk,0.4383470162156494
21 Savage,Lil Jon,0.49063364352250927
21 Savage,Lil Nas X,0.49486244017111447
21 Savage,Lil Wayne,0.4342170568376122
21 Savage,List of Wu-Tang Clan affiliates,0.42628909420486244
21 Savage,Logic (rapper),0.42937000611628934
21 Savage,Ludacris,0.4635700791805993
21 Savage,Lupe Fiasco,0.40677671311774555
21 Savage,Luther Campbell,0.4518323856262026
21 Savage,M.I.A. (rapper),0.49552461202263376
21 Savage,M.I Abaga,0.4086368699146997
21 Savage,MC Lyte,0.4087155233325375
21 Savage,Machine Gun Kelly (rapper),0.4417894406480746
21 Savage,Mariah Carey,0.4044969275768496
21 Savage,Master P,0.41397397901691885
21 Savage,Method Man,0.4127893161082308
21 Savage,Metro Boomin,0.6696313141314949
21 Savage,Mike Will Made It,0.41901930097437506
21 Savage,Missy Elliott,0.4391295819685124
21 Savage,Monica (singer),0.4483827123166621
21 Savage,Mos Def,0.436077579785186
21 Savage,Nas,0.4544931934597777
21 Savage,Nav (rapper),0.42688881619844127
21 Savage,Ne-Yo,0.4098526845447837
21 Savage,Nelly,0.4575416611023406
21 Savage,Nicki Minaj,0.4576547783397823
21 Savage,Offset (rapper),0.449843988584376
21 Savage,Omarion,0.44264827070712137
